product_id,body,sku,price__number,"Pizza Size",stores
"The Meal Buster","Pepperoni, Fresh Mushrooms, Onions, Green Peppers, Black Olives, Green Olives, Italian Sausage, Ground Beef, Hot Peppers, Double Cheese, Italian Salami, Anchovies upon request.",pizza_large_meal_buster,19.99,"Large 14""",1|2|3
"The Meal Buster","Pepperoni, Fresh Mushrooms, Onions, Green Peppers, Black Olives, Green Olives, Italian Sausage, Ground Beef, Hot Peppers, Double Cheese, Italian Salami, Anchovies upon request.",pizza_medium_meal_buster,17.99,"Medium 12""",1|2|3
"The Meal Buster","Pepperoni, Fresh Mushrooms, Onions, Green Peppers, Black Olives, Green Olives, Italian Sausage, Ground Beef, Hot Peppers, Double Cheese, Italian Salami, Anchovies upon request.",pizza_x_large_meal_buster,20.99,"X-Large 16""",1|2|3
"The Unique","Our Secret Sauce, Ground Beef, Italian Salami, Onions, Black Olives, Fresh Sliced Tomatoes, Green Peppers, Feta Cheese, Pizza Cheese and Fresh Oregano",pizza_x_large_unique,20.99,"X-Large 16""",1|2|3
"The Unique","Our Secret Sauce, Ground Beef, Italian Salami, Onions, Black Olives, Fresh Sliced Tomatoes, Green Peppers, Feta Cheese, Pizza Cheese and Fresh Oregano",pizza_large_unique,19.99,"Large 14""",1|2|3
"The Unique","Our Secret Sauce, Ground Beef, Italian Salami, Onions, Black Olives, Fresh Sliced Tomatoes, Green Peppers, Feta Cheese, Pizza Cheese and Fresh Oregano",pizza_medium_unique,17.99,"Medium 12""",1|2|3
"The Vegilicious","Fresh Mushrooms, Onions, Green Peppers, Black Olives, Green Olives, Hot Peppers, Extra Cheese, Fresh Sliced Tomatoes",pizza_medium_vegilicious,17.99,"Medium 12""",1|2|3
"The Vegilicious","Fresh Mushrooms, Onions, Green Peppers, Black Olives, Green Olives, Hot Peppers, Extra Cheese, Fresh Sliced Tomatoes",pizza_large_vegilicious,19.99,"Large 14""",1|2|3
"The Vegilicious","Fresh Mushrooms, Onions, Green Peppers, Black Olives, Green Olives, Hot Peppers, Extra Cheese, Fresh Sliced Tomatoes",pizza_x_large_vegilicious,20.99,"X-Large 16""",1|2|3
"The MEATSTER","Italian Sausage, Ground Beef, Pepperoni, Imported Ham, Canadian Bacon, Salami with Extra Cheese",pizza_large_meatster,19.99,"Large 14""",1|2|3
"The MEATSTER","Italian Sausage, Ground Beef, Pepperoni, Imported Ham, Canadian Bacon, Salami with Extra Cheese",pizza_medium_meatster,17.99,"Medium 12""",1|2|3
"The MEATSTER","Italian Sausage, Ground Beef, Pepperoni, Imported Ham, Canadian Bacon, Salami with Extra Cheese",pizza_x_large_meatster,20.99,"X-Large 16""",1|2|3
"White Pizza","Our fresh dough basted with a touch of oil and sprinkled lightly with garlic; topped with a special blend of Mozzarella, Provolone and Cheddar cheeses along with Fresh Oregano",pizza_medium_white_pizza,17.99,"Medium 12""",1|2|3
"White Pizza","Our fresh dough basted with a touch of oil and sprinkled lightly with garlic; topped with a special blend of Mozzarella, Provolone and Cheddar cheeses along with Fresh Oregano",pizza_large_white_pizza,19.99,"Large 14""",1|2|3
"White Pizza","Our fresh dough basted with a touch of oil and sprinkled lightly with garlic; topped with a special blend of Mozzarella, Provolone and Cheddar cheeses along with Fresh Oregano",pizza_x_large_white_pizza,20.99,"X-Large 16""",1|2|3
"So Cal Skater","Pepperoni, Black Olives, Garlic, Onions. Be encouraged to aggressively shake on Parmesan cheese and olive oil to make this classic your own. What's more fun than skating up & down 18th to U street to fetch a giant slice of this?",pizza_medium_so_cal_skater,17.99,"Medium 12""",1|2|3
"So Cal Skater","Pepperoni, Black Olives, Garlic, Onions. Be encouraged to aggressively shake on Parmesan cheese and olive oil to make this classic your own. What's more fun than skating up & down 18th to U street to fetch a giant slice of this?",pizza_large_so_cal_skater,21.39,"Large 14""",1|2|3
"So Cal Skater","Pepperoni, Black Olives, Garlic, Onions. Be encouraged to aggressively shake on Parmesan cheese and olive oil to make this classic your own. What's more fun than skating up & down 18th to U street to fetch a giant slice of this?",pizza_x_large_so_cal_skater,22.99,"X-Large 16""",1|2|3
